contig	chromosome	plasmid
1	7.729964208111146	-858.1827421223129
2	5.022846266662816	-626.2589537886065
3	4.030823637822864	-536.1980987043138
4	5.965701322765266	-597.4780071470124
5	2.520178077494874	-475.8414092879541
6	1.518136923407658	-423.7983720123756
7	4.5887396526633335	-462.77640338073445
8	1.2731690384322958	-215.72713724776395
9	3.3786503228379567	-284.649973384766
10	3.268927772705876	-283.6384286379529
11	3.394745352720964	-330.0386369823601
12	3.580747473941897	-341.93560261737196
13	2.0544825315546076	-215.16664715561168
14	1.9010817350315392	-219.6420057867187
15	2.7204441399698567	-234.53307968433225
16	1.332080105894585	-187.11832355598526
17	2.0040573963434563	-192.9131404873078
18	-0.09459775471823573	-165.05181310806066
19	1.3714230515191161	-169.70016829461386
20	2.6199948390971333	-238.01256641576845
21	-0.12663281284116312	-77.14195647491412
22	-5.129866749377116	-78.28240451711758
23	1.9861691627833986	-191.21371538035459
24	-1.2819894302959103	-100.61966848301287
25	1.7357678468606128	-171.50570812107696
26	1.5361036488880284	-165.36559666959303
27	1.6634051857455017	-151.8151520190765
28	0.2750477197397059	-76.16320977582585
29	-0.24344692428032477	-80.53430066715592
30	-0.30773914210290165	-79.61817566742893
31	-5.1259087258801035	-90.56961163036033
32	-1.516359346352301	-67.4164175994619
33	1.6574114629199137	-152.4803086977346
34	-2.442327597494849	-47.72252557554568
35	-41.958297423619975	123.92529419444168
36	1.0208824013050206	-77.59082275210798
37	0.3283360095697363	-29.537687136698533
38	-5.670346919629211	27.86473276375267
39	-2.2937314591713545	10.854302206770608
40	-0.15067046361122305	-8.429323508442485
41	-0.19066553104719386	-6.842573889316322
42	-0.4899079327074922	-14.149293301629104
43	-2.938504395321562	14.875288576347746
44	-4.958941157016798	21.07146283502238
45	-1.1303450254306036	-0.8175536558744625
46	-4.368336099682899	27.02101537801969
47	0.22391164326982427	-15.687898638113213
48	-2.157259038747352	10.930598035964001
49	-1.0451157952940218	-8.497002651960237
50	-4.140402545920354	18.387314131531962
51	-0.4376036414123501	-2.2053435322116863
52	-1.2131683540236091	3.163536975787509
53	-0.6989088595173776	3.0862074478238
54	-2.4565950870935422	6.550481143818059
55	-0.014980066445139606	-7.64851178168432
56	-2.9085165232672647	16.081711944529925
57	0.13699164669087427	-11.171189813003352
58	-1.8288535164301356	9.675978756150876
59	-3.2130888077653426	15.86011252190383
60	0.02374590965025547	-1.4952118770644773
61	-1.0592781377721305	3.086353065506075
62	-0.26503607661258854	2.1338498809206756
63	-0.48405322912224946	2.585817231093281
64	-0.7702461877636324	2.009633997320731
67	0.07621969402895257	-5.196474046103074
68	0.07621969402895257	-5.196474046103074
69	0.043614718495545546	-2.9279886214672874
70	0.043614718495545546	-2.9279886214672874
71	-1.8694273732844957	10.235428682644184
74	-1.362618850791363	7.609909355430927
75	-0.5707473824524341	4.172523609977139
76	-2.1140011514754393	8.441013109469058
77	0.05392825768083753	-4.207673247528922
78	0.050813129352635045	-3.4643160307353824
79	-0.5099517054249922	2.623081670871227
80	-0.423096851451116	2.487828491756612
81	0.008059430181623028	-0.29953958257356206
82	0.05392825768083753	-4.207673247528922
84	-0.939521999340247	5.122080863674316
87	0.05839251033709214	-6.310917778559418
88	-0.423096851451116	2.487828491756612
89	-0.939521999340247	5.122080863674316
90	0.019898011764624357	-1.0296194171810669
91	-0.939521999340247	5.122080863674316
92	0.04415497836883908	-2.5047092770839985
94	0.025406564676317522	-1.7321580153676912
95	0.025406564676317522	-1.7321580153676912
96	-0.006459140071598313	0.1872628817622708
97	0.02698720139711952	-2.079441541679744
100	0.050813129352635045	-3.4643160307353824
102	0.008059430181623028	-0.29953958257356206
103	0.02698720139711952	-2.079441541679744
104	0.02698720139711952	-2.079441541679744
107	0.022327324379288527	-1.2809338454619734
108	0.022327324379288527	-1.2809338454619734
109	0.07577017325434099	-5.114244276715004
110	-1.439857079369241	7.736429489841095
112	0.022327324379288527	-1.2809338454619734
114	0.026810496632770686	-2.0340368953309182
115	-0.5099517054249922	2.623081670871227
116	0.017397116993715045	-0.8240640506977144
118	0.04415497836883908	-2.5047092770839985
121	0.008448921720045632	-0.31663401593286267
122	0.012123586998130875	-0.480380340573646
123	0.050813129352635045	-3.4643160307353824
125	-1.3436614344808469	5.624683839259646
126	-0.423096851451116	2.487828491756612
127	0.02698720139711952	-2.079441541679744
129	-0.7521345055276871	2.8853456671353994
132	-1.439857079369241	7.736429489841095
133	-0.4295702939152548	2.4989991928030886
135	0.02603580965563168	-1.856297990365535
139	-0.40220561182635883	2.450383626312938
140	0.012123586998130875	-0.480380340573646
141	0.012123586998130875	-0.480380340573646
147	0.021827653989550555	-1.223775431622025
148	-0.40220561182635883	2.450383626312938
149	0.12628362209056831	-8.523740461191673
150	0.044654648758577054	-2.561867690923947
151	0.025406564676317522	-1.7321580153676912
152	0.026810496632770686	-2.0340368953309182
155	0.0007193147681991974	-0.023286205945403537
156	0.0007193147681991974	-0.023286205945403537
161	-0.006086218450663594	0.17738448951674712
164	0.02698720139711952	-2.079441541679744
165	-0.47155221312021833	2.5669590284613584
170	0.01279062837783762	-0.5306282510620797
171	-0.7521345055276871	2.8853456671353994
172	-0.7521345055276871	2.8853456671353994
178	-0.4295702939152548	2.4989991928030886
