21	CP026812_00205|MOBF	1.00	79861	139
21	CP024237_00120|MOBF	0.92	79861	207
21	CP042601_00097|MOBF	0.92	79861	207
21	CP023354_00077|MOBF	0.99	79861	258
21	CP041301_00150|MOBF	0.92	79861	258
21	CP042640_00139|MOBF	1.00	79861	261
21	CP029214_00066|MOBF	1.00	79861	288
21	AP018572_00011|MOBF	0.98	79861	387
21	CP008715_00128|MOBF	0.97	79861	580
21	NC_010119_00038|MOBF	0.94	79861	605
21	MF535908_00027|MOBF	0.98	79861	719
21	NC_011964_00125|MOBF	0.98	79861	906
21	CP023471_00010|MOBF	0.99	79861	1191
21	NC_020271_00088|MOBF	1.00	79861	1408
21	MG904998_00124|MOBF	1.00	79861	1487
21	AP018568_00098|MOBF	0.98	79861	1597
21	CP017618_00114|MOBF	1.00	79861	1685
21	NC_007208_00043|MOBF	0.98	79861	1753
21	NC_017627_00068|MOBF	1.00	79861	1756
21	CP030220_00041|MOBF	1.00	79861	1756
21	CP022660_00273|MOBF	0.95	79861	1759
21	NC_017639_00103|MOBF	0.83	79861	281
21	NC_011980_00044|MOBF	1.00	79861	627
